O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
2400387,99451,O,163747.64,1995-10-17,1-URGENT,Clerk#000000280,0,"ons sleep quickly. ironic, stealthy accounts haggl"
2400388,8770,F,347098.42,1993-08-22,2-HIGH,Clerk#000000848,0,ts mold silently carefully silent requests. express
2400389,82942,O,159041.33,1997-05-10,2-HIGH,Clerk#000000017,0, use slyly against the furiously even foxes. furiou
2400390,27592,O,48737.72,1996-11-13,2-HIGH,Clerk#000000402,0,kages are. instructions cajole blithely aroun
2400391,78050,P,229517.65,1995-03-17,2-HIGH,Clerk#000000372,0,"orges use furiously alongside of the final, regular"
2400416,32173,O,176043.66,1997-09-27,3-MEDIUM,Clerk#000000467,0, ideas. excuses use carefully final packages. specia
2400417,126373,F,69751.11,1993-08-04,4-NOT SPECIFIED,Clerk#000000891,0,uickly express requests cajole carefully unusual theodolit
2400418,94558,F,68980.76,1993-05-26,1-URGENT,Clerk#000000017,0,ely final pinto beans ha
2400419,103150,P,91555.79,1995-03-11,1-URGENT,Clerk#000000631,0,ess accounts cajole careful
2400420,72868,O,180096.13,1998-03-19,1-URGENT,Clerk#000000674,0,"g the deposits wake fluffily special, special accounts. "
2400421,60496,O,78061.77,1996-02-07,5-LOW,Clerk#000000034,0,s detect furiously ironic foxes. carefully ironic accounts cajole slyly unusu
2400422,49214,F,278282.18,1994-10-28,2-HIGH,Clerk#000000075,0,s sleep quickly. even packages wake furiously against the
2400423,34978,F,1480.87,1992-11-15,4-NOT SPECIFIED,Clerk#000000695,0,gle evenly ironic packages. slyl
2400448,16816,O,75236.44,1996-02-04,2-HIGH,Clerk#000000683,0,telets haggle: blithely regular depths wake! furiously 
2400449,146660,F,150947.38,1992-08-18,4-NOT SPECIFIED,Clerk#000000844,0,es. carefully even accounts integrate blithely
2400450,98399,O,37265.04,1996-09-01,1-URGENT,Clerk#000000319,0,mptotes; fluffily regular escapades sleep
2400451,40619,F,21750.88,1992-06-18,2-HIGH,Clerk#000000118,0, furiously. packages haggle across t
2400452,24218,F,131372.20,1993-07-19,2-HIGH,Clerk#000000027,0,"yly regular ideas mold carefully for the silent, final requests. carefully "
2400453,75295,F,231666.44,1994-11-14,1-URGENT,Clerk#000000553,0,he ironic packages. blithely pending deposits try to use blithely ag
2400454,50291,F,380372.66,1994-04-22,2-HIGH,Clerk#000000958,0,odolites. special fo
2400455,132547,O,222856.38,1998-07-19,4-NOT SPECIFIED,Clerk#000000470,0,ly across the carefully express deposits. silent theodolites sleep 
2400480,47474,O,137025.65,1995-07-13,5-LOW,Clerk#000000591,0,odolites sleep carefully i
2400481,39556,F,152330.98,1994-08-04,4-NOT SPECIFIED,Clerk#000000418,0,ly ironic packages are. req
2400482,14530,O,182885.79,1998-06-26,1-URGENT,Clerk#000000825,0,inly at the special dependencies. special req
2400483,139667,F,132364.55,1994-02-08,4-NOT SPECIFIED,Clerk#000000236,0,jole along the quickly r
2400484,16700,F,238178.26,1992-12-22,4-NOT SPECIFIED,Clerk#000000785,0,sual pinto beans detect carefully. furiously regular theodolites a
2400485,26648,F,74991.68,1994-04-02,1-URGENT,Clerk#000000895,0,xes across the quickly even packages breach quickly blithely ironic theodol
2400486,122140,O,158897.28,1997-05-08,4-NOT SPECIFIED,Clerk#000000043,0,ious accounts wake fluffily carefully regular deposits. fur
2400487,34907,F,340988.87,1993-04-25,4-NOT SPECIFIED,Clerk#000000841,0,he slyly fluffy requests haggle across the blithely pending packages. c
2400512,17819,O,81886.10,1996-02-02,2-HIGH,Clerk#000000768,0,"oxes. theodolites across the regular, express "
2400513,73285,O,89012.80,1998-06-23,1-URGENT,Clerk#000000148,0,long the furiously special instructions. furiously ruthless deposits det
2400514,40843,F,255177.81,1992-09-06,3-MEDIUM,Clerk#000000137,0,ully furiously bold platelets. slyly
2400515,19733,O,136128.63,1997-05-10,4-NOT SPECIFIED,Clerk#000000244,0,s wake fluffily after the carefully even deposits. carefully bold theo
2400516,149830,F,262989.40,1992-12-22,3-MEDIUM,Clerk#000000109,0,ions? packages sleep. furiously ev
2400517,137428,F,58526.30,1992-08-06,1-URGENT,Clerk#000000669,0,as wake bravely among the blithely unusual asymptotes. express a
2400518,38609,F,192377.24,1993-01-07,3-MEDIUM,Clerk#000000922,0,es among the quickly 
2400519,147355,F,11898.28,1995-01-28,4-NOT SPECIFIED,Clerk#000000813,0,y regular accounts: bravely brave accounts are quickly furiously 
2400544,77749,O,191828.20,1996-07-18,3-MEDIUM,Clerk#000000821,0,ans. blithely close deposits
2400545,55246,O,199943.00,1997-04-18,4-NOT SPECIFIED,Clerk#000000977,0,"eposits. final, pending foxes haggle"
2400546,138010,O,44501.56,1995-10-09,1-URGENT,Clerk#000000036,0,ithely ironic foxes sleep idly about the caref
2400547,61174,O,271999.51,1998-05-14,4-NOT SPECIFIED,Clerk#000000807,0,riously final pinto beans wake quickl
2400548,41159,F,107286.78,1992-02-11,4-NOT SPECIFIED,Clerk#000000890,0,. special deposits sleep thinly a
2400549,96602,O,113452.82,1998-04-21,3-MEDIUM,Clerk#000000970,0, the fluffily final courts nag sometimes in place of th
2400550,126382,F,57934.71,1993-02-10,4-NOT SPECIFIED,Clerk#000000949,0," wake quickly. ironic, bold orbits haggle slyly. slyly unusual instructions "
2400551,80138,O,207983.14,1995-10-21,1-URGENT,Clerk#000000618,0,"ironic requests maintain even, express pinto beans. furiously regular de"
2400576,17753,O,183192.01,1995-10-28,1-URGENT,Clerk#000000753,0," even, ironic frets. bold, unu"
2400577,15007,F,14634.98,1992-12-22,4-NOT SPECIFIED,Clerk#000000109,0,"ven packages. regular, ironic foxes"
2400578,54854,F,150466.70,1994-08-04,5-LOW,Clerk#000000893,0,le blithely after the speci
2400579,22367,F,178171.90,1994-07-30,5-LOW,Clerk#000000420,0," doubt furiously. fluffily final requests are bold, fin"
2400580,7286,F,247790.78,1992-08-04,4-NOT SPECIFIED,Clerk#000000693,0,lyly bold asymptotes are quickly blithely even instructions. sly reque
2400581,51280,F,36953.37,1992-07-20,3-MEDIUM,Clerk#000000252,0,nusual requests. even asymptotes alongside of the iron
2400582,111412,O,136484.87,1996-04-18,5-LOW,Clerk#000000594,0,s packages sleep quickly special pinto
2400583,41581,O,125613.38,1995-04-24,4-NOT SPECIFIED,Clerk#000000900,0,he quickly final packag
2400608,133207,F,128715.49,1993-03-16,4-NOT SPECIFIED,Clerk#000000269,0,fluffily regular platelets. furiously ironic requests cajole furiously furi
2400609,29983,F,54624.31,1992-09-04,4-NOT SPECIFIED,Clerk#000000710,0,"l deposits. pending, special requests boo"
2400610,62728,F,38980.03,1993-05-18,5-LOW,Clerk#000000768,0,equests. express instructions haggle
2400611,53110,F,166145.08,1994-10-07,3-MEDIUM,Clerk#000000423,0,lar theodolites sleep fluf
2400612,97690,F,232845.98,1995-02-01,5-LOW,Clerk#000000470,0,onic accounts cajole requests. furiously bold asympto
2400613,98128,O,43684.16,1995-07-15,4-NOT SPECIFIED,Clerk#000000055,0," packages. regular, ironic asymptotes affix furiously fin"
2400614,130312,O,93261.13,1996-10-02,5-LOW,Clerk#000000966,0,". ironic, regular requests cajole along the final accounts. packages ki"
2400615,121558,F,54995.91,1994-06-20,4-NOT SPECIFIED,Clerk#000000081,0,ay. carefully bold depths across the furiously unusual requests affi
2400640,350,F,206605.29,1995-05-03,4-NOT SPECIFIED,Clerk#000000076,0,c ideas doubt speci
2400641,25240,O,312724.98,1996-07-07,2-HIGH,Clerk#000000061,0,dependencies boost along the slyly f
2400642,128176,F,252331.63,1994-08-17,5-LOW,Clerk#000000192,0,ounts are ironic deposits. blithely ironic platelets boost slyly about the id
2400643,103042,F,243524.76,1993-03-25,2-HIGH,Clerk#000000221,0,. slyly silent deposits cajole carefully regular patterns. regu
2400644,45005,O,261349.08,1998-01-29,2-HIGH,Clerk#000000109,0,sits poach carefully a
2400645,93038,O,315725.65,1996-11-11,1-URGENT,Clerk#000000289,0,"ven platelets. carefully express orbits are fluffily express, even packages. b"
2400646,79468,O,168768.38,1996-12-25,1-URGENT,Clerk#000000298,0,express requests boost furiously. fluffily ironic courts boost iro
2400647,139895,F,178173.91,1994-05-30,4-NOT SPECIFIED,Clerk#000000446,0,d into the slyly unusual realms. fluffily regular requests wake. bold pearls 
2400672,99451,O,175200.51,1997-12-21,1-URGENT,Clerk#000000639,0,xes eat. fluffily regular pinto beans haggle idly with the
2400673,17410,O,245796.19,1995-10-12,3-MEDIUM,Clerk#000000812,0,al deposits. packages boost carefully. court
2400674,100660,O,54964.00,1998-05-09,1-URGENT,Clerk#000000018,0,al theodolites. blithely special instructions boost. s
2400675,65869,O,174355.31,1997-05-16,3-MEDIUM,Clerk#000000631,0,mong the busily regular deposits integrate carefully
2400676,27796,F,162224.95,1994-05-23,2-HIGH,Clerk#000000521,0,ns. frays haggle blithely: fl
2400677,57203,O,189581.13,1997-04-26,3-MEDIUM,Clerk#000000947,0," bold, ironic pinto bean"
2400678,57316,F,155842.78,1992-01-15,1-URGENT,Clerk#000000338,0,"pending asymptotes. regular,"
2400679,131813,O,162352.93,1996-09-14,4-NOT SPECIFIED,Clerk#000000043,0,leep blithely silent
2400704,19798,O,139303.93,1996-11-22,2-HIGH,Clerk#000000359,0,. furiously ironic accounts wake carefully. blithely final deposi
2400705,16099,O,231260.21,1995-11-13,3-MEDIUM,Clerk#000000007,0,ages. special foxes are. always sly deposits cajole about the furiousl
2400706,111454,P,196387.46,1995-03-24,2-HIGH,Clerk#000000283,0,sly carefully even theodo
2400707,135508,F,161057.31,1993-01-30,1-URGENT,Clerk#000000374,0,"sual accounts inside the pending, ironic dep"
2400708,20653,F,129833.79,1994-04-27,2-HIGH,Clerk#000000742,0,fluffily special theodolites boost slyly according to the deposit
2400709,2557,F,92290.23,1995-03-07,3-MEDIUM,Clerk#000000040,0, carefully slyly ironic deposits. carefully express platelets dazzle furi
2400710,64270,O,98101.02,1997-06-07,1-URGENT,Clerk#000000888,0,riously final pinto beans cajole furiously slyly final a
2400711,20045,F,197709.29,1994-05-07,2-HIGH,Clerk#000000437,0,final dependencies sleep quickly along
2400736,129632,O,136820.19,1996-09-02,3-MEDIUM,Clerk#000000606,0,fully final requests nag slyly. slyly p
2400737,123139,O,115830.21,1995-07-05,1-URGENT,Clerk#000000782,0,ding to the even accounts detect according to the express packages. iro
2400738,24091,F,277907.92,1992-01-14,1-URGENT,Clerk#000000116,0,y ironic packages wake furi
2400739,41170,F,140585.79,1994-12-27,4-NOT SPECIFIED,Clerk#000000919,0,instructions. express gi
2400740,126377,F,106333.91,1992-01-21,4-NOT SPECIFIED,Clerk#000000912,0,"ges cajole unusual, regular deposits-- ironic, bold dolphins x-r"
2400741,1990,F,161565.21,1992-09-25,3-MEDIUM,Clerk#000000217,0,o beans wake blithely de
2400742,136631,O,89153.50,1998-04-18,1-URGENT,Clerk#000000415,0,c deposits. slowly bold foxes affix slyly. slowly pend
2400743,144743,O,63624.10,1998-07-03,4-NOT SPECIFIED,Clerk#000000054,0,ully carefully regular ideas. regular instructions nag according to the quic
2400768,141557,O,99217.67,1997-04-18,4-NOT SPECIFIED,Clerk#000000684,0,"e packages. final, regular deposits wake furiously. express deposits nag. care"
2400769,134948,F,36393.46,1993-09-15,2-HIGH,Clerk#000000448,0, to the quickly final packages haggle slyly final requests! unusual i
2400770,56020,O,136418.82,1995-07-31,4-NOT SPECIFIED,Clerk#000000609,0,refully even accoun
2400771,101380,O,185450.59,1997-01-14,1-URGENT,Clerk#000000323,0,s haggle at the regular excuses. slyly expre
2400772,11441,F,153696.94,1993-03-28,1-URGENT,Clerk#000000237,0,ggle across the slyly unusual deposits. unusual
2400773,131110,F,240560.10,1993-12-30,1-URGENT,Clerk#000000185,0, deposits. silent accounts boost furiously dogged packages. furi
2400774,37702,F,176177.00,1993-08-30,5-LOW,Clerk#000000029,0," slyly busy frays. slyly idle foxes are along the pending, final"
2400775,35039,F,8663.93,1992-10-12,2-HIGH,Clerk#000000314,0,ly final excuses. careful
2400800,136369,O,403364.97,1995-12-25,5-LOW,Clerk#000000277,0,affix carefully around the silent req
2400801,97936,O,25127.19,1997-10-24,1-URGENT,Clerk#000000016,0," regular, even depos"
2400802,38251,F,112362.67,1992-10-22,3-MEDIUM,Clerk#000000297,0, integrate furiously. even instructions detect carefully after the 
2400803,123010,F,118927.44,1993-07-29,4-NOT SPECIFIED,Clerk#000000639,0,uickly regular requests detect 
2400804,117940,O,11843.18,1998-07-01,2-HIGH,Clerk#000000665,0,ans doze slyly according to the bold
2400805,110728,F,267255.27,1993-01-27,3-MEDIUM,Clerk#000000585,0,slyly regular frays sleep quickly slyly express d
2400806,82421,F,17352.78,1992-09-06,3-MEDIUM,Clerk#000000771,0,ts about the slyly ironic gifts sleep slyly slyly ironic 
2400807,143284,O,108845.14,1996-04-04,4-NOT SPECIFIED,Clerk#000000066,0,"r requests across the even, un"
2400832,45067,F,49766.59,1993-09-21,5-LOW,Clerk#000000417,0,ic deposits affix slyly a
2400833,72088,O,182496.93,1998-03-16,4-NOT SPECIFIED,Clerk#000000806,0,to the furiously even platelets. slyly fina
2400834,32119,F,2397.36,1994-12-14,5-LOW,Clerk#000000080,0,ironic packages according to the even 
2400835,93464,O,86543.56,1998-07-14,5-LOW,Clerk#000000812,0,fully unusual instructions are after th
2400836,34981,O,13949.11,1996-03-21,5-LOW,Clerk#000000577,0,ffily regular asymptotes doubt quickly acro
2400837,44260,O,245091.95,1996-08-27,3-MEDIUM,Clerk#000000822,0,riously furiously silent deposits
2400838,10222,F,111919.00,1992-06-29,5-LOW,Clerk#000000957,0,"ely unusual requests. final deposits nag about the daring,"
2400839,29584,F,22703.08,1993-10-20,1-URGENT,Clerk#000000861,0,"regular packages at the ironic, quiet pinto b"
2400864,89038,F,264625.30,1992-10-25,3-MEDIUM,Clerk#000000750,0,sts wake blithely. silently close 
2400865,29090,O,181424.78,1998-06-13,1-URGENT,Clerk#000000957,0,thely after the closely final deposits. pending packages ar
2400866,49472,F,60834.25,1992-07-13,3-MEDIUM,Clerk#000000585,0,s integrate furious
2400867,21647,F,43738.97,1993-03-19,5-LOW,Clerk#000000992,0,"kages after the final, final foxes engage fluffily across the blith"
2400868,57449,F,88354.12,1993-01-19,1-URGENT,Clerk#000000907,0,". unusual requests sleep against the special, special accounts. quickly un"
2400869,136180,F,121388.95,1994-05-20,1-URGENT,Clerk#000000719,0,"luffily unusual realms boost. bold, regular id"
2400870,77135,F,126654.12,1993-08-23,1-URGENT,Clerk#000000337,0,ts cajole blithely asymptotes. carefully ironic instructions along the s
2400871,91265,F,208778.34,1993-07-27,4-NOT SPECIFIED,Clerk#000000855,0,"azzle. special, pendin"
2400896,127058,F,39814.39,1992-09-23,3-MEDIUM,Clerk#000000683,0,s instructions. furiously final theodolites haggle blithely quic
2400897,62881,O,88256.54,1998-03-27,3-MEDIUM,Clerk#000000498,0,ng foxes x-ray speci
2400898,60668,O,176799.23,1997-07-27,2-HIGH,Clerk#000000713,0, unusual ideas sleep fluffily besides t
2400899,96055,O,98884.39,1996-03-05,1-URGENT,Clerk#000000271,0, fluffily regular Tiresias wake across the 
2400900,84575,F,12191.65,1993-07-25,3-MEDIUM,Clerk#000000485,0,ly unusual accounts are-- slyly final requests about the b
2400901,37364,F,139095.77,1994-01-18,2-HIGH,Clerk#000000503,0,"tect carefully bold, express requests. blithely ironic packages wake "
2400902,68515,O,56184.66,1998-06-19,4-NOT SPECIFIED,Clerk#000000383,0,"nusual, ironic packages haggle quickly. final cour"
2400903,114505,F,64284.61,1993-06-10,5-LOW,Clerk#000000242,0,ns run. furiously regul
2400928,115408,F,225036.10,1994-05-12,5-LOW,Clerk#000000264,0,uriously final accounts. blithe
2400929,147898,O,50002.11,1995-11-27,5-LOW,Clerk#000000783,0,eposits haggle brave accounts. daring
2400930,43298,O,132627.94,1995-11-30,2-HIGH,Clerk#000000143,0,ng deposits along the furiously silent de
2400931,53003,F,127122.39,1993-02-18,4-NOT SPECIFIED,Clerk#000000986,0,". final, ironic packages across the ironic, ironic pinto beans are quick"
2400932,109012,F,334493.66,1994-12-07,5-LOW,Clerk#000000566,0,ly express deposits. blithely even requests according to the carefully ironic 
2400933,31183,O,110103.86,1998-03-15,4-NOT SPECIFIED,Clerk#000000205,0,"p carefully carefully final deposits. regular, blithe instructions"
