ORDER_DATE,YEAR,QUARTER,MONTH,MONTH_NAME,DAY,MONTH_START,QUARTER_START,QUARTER_LABEL
1992-04-25,1992,2,4,Apr,25,1992-04-01,1992-04-01,Q2
1992-04-26,1992,2,4,Apr,26,1992-04-01,1992-04-01,Q2
1992-04-27,1992,2,4,Apr,27,1992-04-01,1992-04-01,Q2
1992-04-28,1992,2,4,Apr,28,1992-04-01,1992-04-01,Q2
1992-04-29,1992,2,4,Apr,29,1992-04-01,1992-04-01,Q2
1992-04-30,1992,2,4,Apr,30,1992-04-01,1992-04-01,Q2
1992-05-01,1992,2,5,May,1,1992-05-01,1992-04-01,Q2
1992-05-02,1992,2,5,May,2,1992-05-01,1992-04-01,Q2
1992-05-03,1992,2,5,May,3,1992-05-01,1992-04-01,Q2
1992-05-04,1992,2,5,May,4,1992-05-01,1992-04-01,Q2
1992-05-05,1992,2,5,May,5,1992-05-01,1992-04-01,Q2
1992-05-06,1992,2,5,May,6,1992-05-01,1992-04-01,Q2
1992-05-07,1992,2,5,May,7,1992-05-01,1992-04-01,Q2
1992-05-08,1992,2,5,May,8,1992-05-01,1992-04-01,Q2
1992-05-09,1992,2,5,May,9,1992-05-01,1992-04-01,Q2
1992-05-10,1992,2,5,May,10,1992-05-01,1992-04-01,Q2
1992-05-11,1992,2,5,May,11,1992-05-01,1992-04-01,Q2
1992-05-12,1992,2,5,May,12,1992-05-01,1992-04-01,Q2
1992-05-13,1992,2,5,May,13,1992-05-01,1992-04-01,Q2
1992-05-14,1992,2,5,May,14,1992-05-01,1992-04-01,Q2
1992-05-15,1992,2,5,May,15,1992-05-01,1992-04-01,Q2
1992-05-16,1992,2,5,May,16,1992-05-01,1992-04-01,Q2
1992-05-17,1992,2,5,May,17,1992-05-01,1992-04-01,Q2
1992-05-18,1992,2,5,May,18,1992-05-01,1992-04-01,Q2
1992-05-19,1992,2,5,May,19,1992-05-01,1992-04-01,Q2
1992-05-20,1992,2,5,May,20,1992-05-01,1992-04-01,Q2
1992-05-21,1992,2,5,May,21,1992-05-01,1992-04-01,Q2
1992-05-22,1992,2,5,May,22,1992-05-01,1992-04-01,Q2
1992-05-23,1992,2,5,May,23,1992-05-01,1992-04-01,Q2
1992-05-24,1992,2,5,May,24,1992-05-01,1992-04-01,Q2
1992-05-25,1992,2,5,May,25,1992-05-01,1992-04-01,Q2
1992-05-26,1992,2,5,May,26,1992-05-01,1992-04-01,Q2
1992-05-27,1992,2,5,May,27,1992-05-01,1992-04-01,Q2
1992-05-28,1992,2,5,May,28,1992-05-01,1992-04-01,Q2
1992-05-29,1992,2,5,May,29,1992-05-01,1992-04-01,Q2
1992-05-30,1992,2,5,May,30,1992-05-01,1992-04-01,Q2
1992-05-31,1992,2,5,May,31,1992-05-01,1992-04-01,Q2
1992-06-01,1992,2,6,Jun,1,1992-06-01,1992-04-01,Q2
1992-06-02,1992,2,6,Jun,2,1992-06-01,1992-04-01,Q2
1992-06-03,1992,2,6,Jun,3,1992-06-01,1992-04-01,Q2
1992-06-04,1992,2,6,Jun,4,1992-06-01,1992-04-01,Q2
1992-06-05,1992,2,6,Jun,5,1992-06-01,1992-04-01,Q2
1992-06-06,1992,2,6,Jun,6,1992-06-01,1992-04-01,Q2
1992-06-07,1992,2,6,Jun,7,1992-06-01,1992-04-01,Q2
1992-06-08,1992,2,6,Jun,8,1992-06-01,1992-04-01,Q2
1992-06-09,1992,2,6,Jun,9,1992-06-01,1992-04-01,Q2
1992-06-10,1992,2,6,Jun,10,1992-06-01,1992-04-01,Q2
1992-06-11,1992,2,6,Jun,11,1992-06-01,1992-04-01,Q2
1992-06-12,1992,2,6,Jun,12,1992-06-01,1992-04-01,Q2
1992-06-13,1992,2,6,Jun,13,1992-06-01,1992-04-01,Q2
1992-06-14,1992,2,6,Jun,14,1992-06-01,1992-04-01,Q2
1992-06-15,1992,2,6,Jun,15,1992-06-01,1992-04-01,Q2
1992-06-16,1992,2,6,Jun,16,1992-06-01,1992-04-01,Q2
1992-06-17,1992,2,6,Jun,17,1992-06-01,1992-04-01,Q2
1992-06-18,1992,2,6,Jun,18,1992-06-01,1992-04-01,Q2
1992-06-19,1992,2,6,Jun,19,1992-06-01,1992-04-01,Q2
1992-06-20,1992,2,6,Jun,20,1992-06-01,1992-04-01,Q2
1992-06-21,1992,2,6,Jun,21,1992-06-01,1992-04-01,Q2
1992-06-22,1992,2,6,Jun,22,1992-06-01,1992-04-01,Q2
1992-06-23,1992,2,6,Jun,23,1992-06-01,1992-04-01,Q2
1992-06-24,1992,2,6,Jun,24,1992-06-01,1992-04-01,Q2
1992-06-25,1992,2,6,Jun,25,1992-06-01,1992-04-01,Q2
1992-06-26,1992,2,6,Jun,26,1992-06-01,1992-04-01,Q2
1992-06-27,1992,2,6,Jun,27,1992-06-01,1992-04-01,Q2
1992-06-28,1992,2,6,Jun,28,1992-06-01,1992-04-01,Q2
1992-06-29,1992,2,6,Jun,29,1992-06-01,1992-04-01,Q2
1992-06-30,1992,2,6,Jun,30,1992-06-01,1992-04-01,Q2
1992-07-01,1992,3,7,Jul,1,1992-07-01,1992-07-01,Q3
1992-07-02,1992,3,7,Jul,2,1992-07-01,1992-07-01,Q3
1992-07-03,1992,3,7,Jul,3,1992-07-01,1992-07-01,Q3
1992-07-04,1992,3,7,Jul,4,1992-07-01,1992-07-01,Q3
1992-07-05,1992,3,7,Jul,5,1992-07-01,1992-07-01,Q3
1992-07-06,1992,3,7,Jul,6,1992-07-01,1992-07-01,Q3
1992-07-07,1992,3,7,Jul,7,1992-07-01,1992-07-01,Q3
1992-07-08,1992,3,7,Jul,8,1992-07-01,1992-07-01,Q3
1992-07-09,1992,3,7,Jul,9,1992-07-01,1992-07-01,Q3
1992-07-10,1992,3,7,Jul,10,1992-07-01,1992-07-01,Q3
1992-07-11,1992,3,7,Jul,11,1992-07-01,1992-07-01,Q3
1992-07-12,1992,3,7,Jul,12,1992-07-01,1992-07-01,Q3
1992-07-13,1992,3,7,Jul,13,1992-07-01,1992-07-01,Q3
1992-07-14,1992,3,7,Jul,14,1992-07-01,1992-07-01,Q3
1992-07-15,1992,3,7,Jul,15,1992-07-01,1992-07-01,Q3
1992-07-16,1992,3,7,Jul,16,1992-07-01,1992-07-01,Q3
1992-07-17,1992,3,7,Jul,17,1992-07-01,1992-07-01,Q3
1992-07-18,1992,3,7,Jul,18,1992-07-01,1992-07-01,Q3
1992-07-19,1992,3,7,Jul,19,1992-07-01,1992-07-01,Q3
1992-07-20,1992,3,7,Jul,20,1992-07-01,1992-07-01,Q3
1992-07-21,1992,3,7,Jul,21,1992-07-01,1992-07-01,Q3
1992-07-22,1992,3,7,Jul,22,1992-07-01,1992-07-01,Q3
1992-07-23,1992,3,7,Jul,23,1992-07-01,1992-07-01,Q3
1992-07-24,1992,3,7,Jul,24,1992-07-01,1992-07-01,Q3
1992-07-25,1992,3,7,Jul,25,1992-07-01,1992-07-01,Q3
1992-07-26,1992,3,7,Jul,26,1992-07-01,1992-07-01,Q3
1992-07-27,1992,3,7,Jul,27,1992-07-01,1992-07-01,Q3
1992-07-28,1992,3,7,Jul,28,1992-07-01,1992-07-01,Q3
1992-07-29,1992,3,7,Jul,29,1992-07-01,1992-07-01,Q3
1992-07-30,1992,3,7,Jul,30,1992-07-01,1992-07-01,Q3
1992-07-31,1992,3,7,Jul,31,1992-07-01,1992-07-01,Q3
1992-08-01,1992,3,8,Aug,1,1992-08-01,1992-07-01,Q3
1992-08-02,1992,3,8,Aug,2,1992-08-01,1992-07-01,Q3
1992-08-03,1992,3,8,Aug,3,1992-08-01,1992-07-01,Q3
1992-08-04,1992,3,8,Aug,4,1992-08-01,1992-07-01,Q3
1992-08-05,1992,3,8,Aug,5,1992-08-01,1992-07-01,Q3
1992-08-06,1992,3,8,Aug,6,1992-08-01,1992-07-01,Q3
1992-08-07,1992,3,8,Aug,7,1992-08-01,1992-07-01,Q3
1992-08-08,1992,3,8,Aug,8,1992-08-01,1992-07-01,Q3
1992-08-09,1992,3,8,Aug,9,1992-08-01,1992-07-01,Q3
1992-08-10,1992,3,8,Aug,10,1992-08-01,1992-07-01,Q3
1992-08-11,1992,3,8,Aug,11,1992-08-01,1992-07-01,Q3
1992-08-12,1992,3,8,Aug,12,1992-08-01,1992-07-01,Q3
1992-08-13,1992,3,8,Aug,13,1992-08-01,1992-07-01,Q3
1992-08-14,1992,3,8,Aug,14,1992-08-01,1992-07-01,Q3
1992-08-15,1992,3,8,Aug,15,1992-08-01,1992-07-01,Q3
1992-08-16,1992,3,8,Aug,16,1992-08-01,1992-07-01,Q3
1992-08-17,1992,3,8,Aug,17,1992-08-01,1992-07-01,Q3
1992-08-18,1992,3,8,Aug,18,1992-08-01,1992-07-01,Q3
1992-08-19,1992,3,8,Aug,19,1992-08-01,1992-07-01,Q3
1992-08-20,1992,3,8,Aug,20,1992-08-01,1992-07-01,Q3
1992-08-21,1992,3,8,Aug,21,1992-08-01,1992-07-01,Q3
1992-08-22,1992,3,8,Aug,22,1992-08-01,1992-07-01,Q3
1992-08-23,1992,3,8,Aug,23,1992-08-01,1992-07-01,Q3
1992-08-24,1992,3,8,Aug,24,1992-08-01,1992-07-01,Q3
1992-08-25,1992,3,8,Aug,25,1992-08-01,1992-07-01,Q3
1992-08-26,1992,3,8,Aug,26,1992-08-01,1992-07-01,Q3
1992-08-27,1992,3,8,Aug,27,1992-08-01,1992-07-01,Q3
1992-08-28,1992,3,8,Aug,28,1992-08-01,1992-07-01,Q3
1992-08-29,1992,3,8,Aug,29,1992-08-01,1992-07-01,Q3
1992-08-30,1992,3,8,Aug,30,1992-08-01,1992-07-01,Q3
1992-08-31,1992,3,8,Aug,31,1992-08-01,1992-07-01,Q3
1992-09-01,1992,3,9,Sep,1,1992-09-01,1992-07-01,Q3
1992-09-02,1992,3,9,Sep,2,1992-09-01,1992-07-01,Q3
1992-09-03,1992,3,9,Sep,3,1992-09-01,1992-07-01,Q3
1992-09-04,1992,3,9,Sep,4,1992-09-01,1992-07-01,Q3
1992-09-05,1992,3,9,Sep,5,1992-09-01,1992-07-01,Q3
1992-09-06,1992,3,9,Sep,6,1992-09-01,1992-07-01,Q3
1992-09-07,1992,3,9,Sep,7,1992-09-01,1992-07-01,Q3
1992-09-08,1992,3,9,Sep,8,1992-09-01,1992-07-01,Q3
1992-09-09,1992,3,9,Sep,9,1992-09-01,1992-07-01,Q3
1992-09-10,1992,3,9,Sep,10,1992-09-01,1992-07-01,Q3
1992-09-11,1992,3,9,Sep,11,1992-09-01,1992-07-01,Q3
1992-09-12,1992,3,9,Sep,12,1992-09-01,1992-07-01,Q3
1992-09-13,1992,3,9,Sep,13,1992-09-01,1992-07-01,Q3
1992-09-14,1992,3,9,Sep,14,1992-09-01,1992-07-01,Q3
1992-09-15,1992,3,9,Sep,15,1992-09-01,1992-07-01,Q3
1992-09-16,1992,3,9,Sep,16,1992-09-01,1992-07-01,Q3
1992-09-17,1992,3,9,Sep,17,1992-09-01,1992-07-01,Q3
1992-09-18,1992,3,9,Sep,18,1992-09-01,1992-07-01,Q3
1992-09-19,1992,3,9,Sep,19,1992-09-01,1992-07-01,Q3
1992-09-20,1992,3,9,Sep,20,1992-09-01,1992-07-01,Q3
1992-09-21,1992,3,9,Sep,21,1992-09-01,1992-07-01,Q3
1992-09-22,1992,3,9,Sep,22,1992-09-01,1992-07-01,Q3
1992-09-23,1992,3,9,Sep,23,1992-09-01,1992-07-01,Q3
1992-09-24,1992,3,9,Sep,24,1992-09-01,1992-07-01,Q3
1992-09-25,1992,3,9,Sep,25,1992-09-01,1992-07-01,Q3
1992-09-26,1992,3,9,Sep,26,1992-09-01,1992-07-01,Q3
1992-09-27,1992,3,9,Sep,27,1992-09-01,1992-07-01,Q3
1992-09-28,1992,3,9,Sep,28,1992-09-01,1992-07-01,Q3
1992-09-29,1992,3,9,Sep,29,1992-09-01,1992-07-01,Q3
1992-09-30,1992,3,9,Sep,30,1992-09-01,1992-07-01,Q3
1992-10-01,1992,4,10,Oct,1,1992-10-01,1992-10-01,Q4
1992-10-02,1992,4,10,Oct,2,1992-10-01,1992-10-01,Q4
1992-10-03,1992,4,10,Oct,3,1992-10-01,1992-10-01,Q4
1992-10-04,1992,4,10,Oct,4,1992-10-01,1992-10-01,Q4
1992-10-05,1992,4,10,Oct,5,1992-10-01,1992-10-01,Q4
1992-10-06,1992,4,10,Oct,6,1992-10-01,1992-10-01,Q4
1992-10-07,1992,4,10,Oct,7,1992-10-01,1992-10-01,Q4
1992-10-08,1992,4,10,Oct,8,1992-10-01,1992-10-01,Q4
1992-10-09,1992,4,10,Oct,9,1992-10-01,1992-10-01,Q4
1992-10-10,1992,4,10,Oct,10,1992-10-01,1992-10-01,Q4
1992-10-11,1992,4,10,Oct,11,1992-10-01,1992-10-01,Q4
1992-10-12,1992,4,10,Oct,12,1992-10-01,1992-10-01,Q4
1992-10-13,1992,4,10,Oct,13,1992-10-01,1992-10-01,Q4
1992-10-14,1992,4,10,Oct,14,1992-10-01,1992-10-01,Q4
1992-10-15,1992,4,10,Oct,15,1992-10-01,1992-10-01,Q4
1992-10-16,1992,4,10,Oct,16,1992-10-01,1992-10-01,Q4
1992-10-17,1992,4,10,Oct,17,1992-10-01,1992-10-01,Q4
1992-10-18,1992,4,10,Oct,18,1992-10-01,1992-10-01,Q4
1992-10-19,1992,4,10,Oct,19,1992-10-01,1992-10-01,Q4
1992-10-20,1992,4,10,Oct,20,1992-10-01,1992-10-01,Q4
1992-10-21,1992,4,10,Oct,21,1992-10-01,1992-10-01,Q4
1992-10-22,1992,4,10,Oct,22,1992-10-01,1992-10-01,Q4
1992-10-23,1992,4,10,Oct,23,1992-10-01,1992-10-01,Q4
1992-10-24,1992,4,10,Oct,24,1992-10-01,1992-10-01,Q4
1992-10-25,1992,4,10,Oct,25,1992-10-01,1992-10-01,Q4
1992-10-26,1992,4,10,Oct,26,1992-10-01,1992-10-01,Q4
1996-02-12,1996,1,2,Feb,12,1996-02-01,1996-01-01,Q1
1996-02-13,1996,1,2,Feb,13,1996-02-01,1996-01-01,Q1
1996-02-14,1996,1,2,Feb,14,1996-02-01,1996-01-01,Q1
1996-02-15,1996,1,2,Feb,15,1996-02-01,1996-01-01,Q1
1996-02-16,1996,1,2,Feb,16,1996-02-01,1996-01-01,Q1
1996-02-17,1996,1,2,Feb,17,1996-02-01,1996-01-01,Q1
1996-02-18,1996,1,2,Feb,18,1996-02-01,1996-01-01,Q1
1996-02-19,1996,1,2,Feb,19,1996-02-01,1996-01-01,Q1
1996-02-20,1996,1,2,Feb,20,1996-02-01,1996-01-01,Q1
1996-02-21,1996,1,2,Feb,21,1996-02-01,1996-01-01,Q1
1996-02-22,1996,1,2,Feb,22,1996-02-01,1996-01-01,Q1
1996-02-23,1996,1,2,Feb,23,1996-02-01,1996-01-01,Q1
1996-02-24,1996,1,2,Feb,24,1996-02-01,1996-01-01,Q1
1996-02-25,1996,1,2,Feb,25,1996-02-01,1996-01-01,Q1
1996-02-26,1996,1,2,Feb,26,1996-02-01,1996-01-01,Q1
1996-02-27,1996,1,2,Feb,27,1996-02-01,1996-01-01,Q1
1996-02-28,1996,1,2,Feb,28,1996-02-01,1996-01-01,Q1
1996-02-29,1996,1,2,Feb,29,1996-02-01,1996-01-01,Q1
1996-03-01,1996,1,3,Mar,1,1996-03-01,1996-01-01,Q1
1996-03-02,1996,1,3,Mar,2,1996-03-01,1996-01-01,Q1
1996-03-03,1996,1,3,Mar,3,1996-03-01,1996-01-01,Q1
1996-03-04,1996,1,3,Mar,4,1996-03-01,1996-01-01,Q1
1996-03-05,1996,1,3,Mar,5,1996-03-01,1996-01-01,Q1
1996-03-06,1996,1,3,Mar,6,1996-03-01,1996-01-01,Q1
1996-03-07,1996,1,3,Mar,7,1996-03-01,1996-01-01,Q1
1996-03-08,1996,1,3,Mar,8,1996-03-01,1996-01-01,Q1
1996-03-09,1996,1,3,Mar,9,1996-03-01,1996-01-01,Q1
1996-03-10,1996,1,3,Mar,10,1996-03-01,1996-01-01,Q1
1996-03-11,1996,1,3,Mar,11,1996-03-01,1996-01-01,Q1
1996-03-12,1996,1,3,Mar,12,1996-03-01,1996-01-01,Q1
1996-03-13,1996,1,3,Mar,13,1996-03-01,1996-01-01,Q1
1996-03-14,1996,1,3,Mar,14,1996-03-01,1996-01-01,Q1
1996-03-15,1996,1,3,Mar,15,1996-03-01,1996-01-01,Q1
1996-03-16,1996,1,3,Mar,16,1996-03-01,1996-01-01,Q1
1996-03-17,1996,1,3,Mar,17,1996-03-01,1996-01-01,Q1
1996-03-18,1996,1,3,Mar,18,1996-03-01,1996-01-01,Q1
1996-03-19,1996,1,3,Mar,19,1996-03-01,1996-01-01,Q1
1996-03-20,1996,1,3,Mar,20,1996-03-01,1996-01-01,Q1
1996-03-21,1996,1,3,Mar,21,1996-03-01,1996-01-01,Q1
1996-03-22,1996,1,3,Mar,22,1996-03-01,1996-01-01,Q1
1996-03-23,1996,1,3,Mar,23,1996-03-01,1996-01-01,Q1
1996-03-24,1996,1,3,Mar,24,1996-03-01,1996-01-01,Q1
1996-03-25,1996,1,3,Mar,25,1996-03-01,1996-01-01,Q1
1996-03-26,1996,1,3,Mar,26,1996-03-01,1996-01-01,Q1
1996-03-27,1996,1,3,Mar,27,1996-03-01,1996-01-01,Q1
1996-03-28,1996,1,3,Mar,28,1996-03-01,1996-01-01,Q1
1996-03-29,1996,1,3,Mar,29,1996-03-01,1996-01-01,Q1
1996-03-30,1996,1,3,Mar,30,1996-03-01,1996-01-01,Q1
1996-03-31,1996,1,3,Mar,31,1996-03-01,1996-01-01,Q1
1996-04-01,1996,2,4,Apr,1,1996-04-01,1996-04-01,Q2
1996-04-02,1996,2,4,Apr,2,1996-04-01,1996-04-01,Q2
1996-04-03,1996,2,4,Apr,3,1996-04-01,1996-04-01,Q2
1996-04-04,1996,2,4,Apr,4,1996-04-01,1996-04-01,Q2
1996-04-05,1996,2,4,Apr,5,1996-04-01,1996-04-01,Q2
1996-04-06,1996,2,4,Apr,6,1996-04-01,1996-04-01,Q2
1996-04-07,1996,2,4,Apr,7,1996-04-01,1996-04-01,Q2
1996-04-08,1996,2,4,Apr,8,1996-04-01,1996-04-01,Q2
1996-04-09,1996,2,4,Apr,9,1996-04-01,1996-04-01,Q2
1996-04-10,1996,2,4,Apr,10,1996-04-01,1996-04-01,Q2
1996-04-11,1996,2,4,Apr,11,1996-04-01,1996-04-01,Q2
1996-04-12,1996,2,4,Apr,12,1996-04-01,1996-04-01,Q2
1996-04-13,1996,2,4,Apr,13,1996-04-01,1996-04-01,Q2
1996-04-14,1996,2,4,Apr,14,1996-04-01,1996-04-01,Q2
1996-04-15,1996,2,4,Apr,15,1996-04-01,1996-04-01,Q2
1996-04-16,1996,2,4,Apr,16,1996-04-01,1996-04-01,Q2
1996-04-17,1996,2,4,Apr,17,1996-04-01,1996-04-01,Q2
